Name,Address,Phone,Distance (miles),Rating,Reviews,Place ID
"Vetco Vaccination Clinic","10610 Northwest 19th Street, Doral","(305) 513-8464",7.47 miles,3.9,17,ChIJEYmg78q-2YgR4iXel3VVjgo
"Coral Gables Animal Hospital","4569 Ponce de Leon, Coral Gables","(305) 667-5821",7.64 miles,4.7,143,ChIJDZTZL--32YgRFd6e5ddGdto
"Annette Thomas, VMD","Animal Hospital, 4569 Ponce de Leon, Coral Gables","(305) 667-5821",7.64 miles,5,1,ChIJDZTZL--32YgRrbOeF3aJ8-Y
"Ponce De Leon Animal Clinic","4561 Ponce de Leon, Coral Gables","(305) 666-6813",7.66 miles,4.8,220,ChIJ_a0nLO-32YgR9TXNRoFUVLE
"Martin Integrative Animal Clinic","2051 Northwest 112th Avenue STE 116, Miami","(786) 269-0960",7.67 miles,5,112,ChIJhRUvN-y_2YgRp1PQYXw2EfM
"Dr. Eden LLC","2225 Northwest 97th Avenue, Miami","(305) 229-4184",7.86 miles,N/A,0,ChIJIZuisC652YgRnI73h_Ajvd8
"Flagler Animal Clinic","5582 West Flagler Street, Coral Gables","(305) 266-8320",8.14 miles,4.4,135,ChIJkZUSo9G52YgRUbFrXBZn-ck
"Premium Vet Care - Mobile Animal Hospital","8 Ortega Avenue, Coral Gables","(754) 900-2030",8.23 miles,4,3,ChIJ00duk6C32YgRMptt2r0mK3w
"GoodVets Coral Gables","315 Miracle Mile, Coral Gables","(305) 522-6100",8.33 miles,4.9,87,ChIJlz4t95O32YgRmTh5iCPcnWU
"Coconut Grove Animal Clinic","3200 Grand Avenue, Miami","(305) 448-2123",8.49 miles,4.6,328,ChIJfTBsD8W32YgR1AA7UXY5_WE
"Marmesh Kathleen DVM","3200 Grand Avenue, Miami","(305) 448-2123",8.49 miles,4.7,31,ChIJfTBsD8W32YgRC9DJ47cgzd4
"It's Paw Natural","3109 Grand Avenue, Miami","(305) 987-8684",8.59 miles,N/A,0,ChIJrUiOeMW32YgRSDyib0Bn4XY
"Animal Clinic 8 & 43","4300 Southwest 8th Street, Coral Gables","(305) 442-0776",8.72 miles,4.7,154,ChIJf9IciHe32YgR7thpBFSkNQU
"Manzano Animal Clinic","4300 Southwest 8th Street, Miami","(305) 442-0776",8.72 miles,4,4,ChIJf9IciHe32YgRN0_QJ5RCEvU
"Veterinarian","United States","N/A",8.72 miles,N/A,0,ChIJ_X6Zh3e32YgRju71DrlA9vQ
"Gables Animal Clinic","1607 Ponce de Leon STE 105, Coral Gables","(305) 381-5694",8.76 miles,4.8,107,ChIJs8a4wVy32YgRtTYghLAqHcE
"Miami Animal Hospital: Yull Armando DVM","4701 West Flagler Street, Coral Gables","(305) 443-4777",8.78 miles,4.3,3,ChIJo9BXj3y32YgRwSISjXXxlmA
"Stark Alberto E DVM","4701 West Flagler Street, Miami","(305) 443-4777",8.78 miles,4.3,10,ChIJo9BXj3y32YgR3Szg-efxoZE
"Victor Soler-Baillo, DVM","4701 West Flagler Street, Coral Gables","(305) 443-4777",8.78 miles,N/A,0,ChIJ5-KAH3S32YgROQRSG42XmWg
"GoodVets Coconut Grove","2840 Oak Avenue, Coconut Grove","(305) 463-1201",8.85 miles,4.8,173,ChIJ7zj0Amq32YgRNNaZwyJJqXY
"Four Paws Angels Animal Clinic","4878 Northwest 7th Street, Miami","(786) 963-9014",8.94 miles,4.8,107,ChIJkWHL0ca32YgRdtg5yLCLpJo
"Mascota of coral gables","3301 Coral Way, Miami","N/A",8.95 miles,5,2,ChIJ55WdwUC32YgREkWdK81ZFmE
"petsyfarms","3403 Northwest 82nd Avenue #101A, Doral","(305) 938-0895",8.97 miles,N/A,0,ChIJ__-_lXu52YgRvbECdbXo1iM
"Doral Animal Medical Center","9690 Northwest 41st Street #2, Doral","(786) 631-3931",9.01 miles,4.6,261,ChIJ4437rlm52YgRLIYwreqLnxI
"Animal Hospital","United States","N/A",9.01 miles,N/A,0,ChIJ6xugq1m52YgREMppmZkd9eM
"Vet Wellcare Vaccinations Clinic at Pet Supermarket","2720 South Dixie Highway Ste A, Miami","(305) 529-1800",9.16 miles,4.5,2,ChIJ56FIW7a32YgRwaRNZ6um4hE
"Banfield Pet Hospital","3176 Southwest 22nd Street, Coral Gables","(786) 796-2241",9.16 miles,3.7,282,ChIJER_FpqS32YgRRMk1FaAQdbY
"Doral Welfare Animal Hospital","7930 Northwest 36th Street Ste 25, Doral","(786) 717-6969",9.20 miles,4.6,255,ChIJaaBton652YgRuc8LL07QNR8
"1Family 1Health Pharmacy","2803 Southwest 27th Avenue, Miami","(305) 797-8121",9.23 miles,4.7,45,ChIJO9RRrgG32YgRpJknXX-9f-w
"Grove Animal Hospital","2803 Southwest 27th Avenue, Miami","(786) 332-3659",9.23 miles,4.8,149,ChIJVVUl2bW32YgR0KdBi2NHdyk
"Clinica bajos recurdos animal","2601 Southwest 27th Avenue, Miami","(305) 858-3501",9.36 miles,3.6,39,ChIJ8w_bV7G32YgR7xuUPYPrbM4
"AWS Animal Hospital - Animal Welfare Society of South Florida","2601 Southwest 27th Avenue, Miami","(305) 858-3501",9.36 miles,3.8,722,ChIJs-OUV7G32YgRDufb7yW82g0
"Silver Bluff Animal Clinic","2515 Southwest 27th Avenue, Miami","(305) 859-7979",9.42 miles,4.6,280,ChIJZeZefrG32YgRVwFq3jM9Z5s
"Pet Lovers Animal Clinic @NW 7th St","4140 Northwest 7th Street, Miami","(305) 529-4942",9.53 miles,4.5,454,ChIJbwjkgjC32YgREUeIibMQ-Po
"Viamonte Veterinary Clinic","1835 Southwest 27th Avenue, Miami","(305) 857-0096",9.70 miles,4.5,207,ChIJDRFSfQu32YgRnw4OmN6zOEA
"USDA Veterinary Services","6302 Northwest 36th Street, Miami","(305) 876-2200",9.71 miles,4.4,25,ChIJ_WSvSou52YgRV3nV9ruaB7Q
"Thaddeus Cattery","8333 Lake Drive, Doral","(786) 449-2331",9.72 miles,N/A,0,ChIJ1x2N-2672YgRYB3jcsuWcD8
"Coral Way Animal Clinic","1801 Southwest 27th Avenue, Miami","(305) 381-0561",9.73 miles,4.5,338,ChIJHTB8DHqcEhQRM0exgdn22Xc
"Banfield Pet Hospital","5875 Northwest 105th Court Ste 105, Doral","(305) 470-4696",9.98 miles,3.9,185,ChIJ-QjFY8S92YgRv6GeevK4STY
